ID,Issue,Evidence,Expected_Impact,Implementation_Guidance,Effort,Risk,Owner,Priority,Validation_Method
T-01,"Toxic purchased backlink profile","Semrush: 103 ref domains / 222 backlinks. 99% of ref domains at Authority Score 0-10. 78% of ref domains in Singapore, 13% .in TLD. 103 domains resolve to only 52 IPs / 48 subnets. Anchor report contains ""fiverr helped {panamarealestateguide.com} rank #1 for over 50 targeted keywords"", ""with fiverr's help, panamarealestateguide.com saw a sales increase of 200%"", ""trusted backlink strategy...feedback included"". Network Graph flagged Dangerous.","Removes the largest single obstacle to ranking. A profile this synthetic caps trust no matter how good the content is.","1) Stop any active link purchase immediately. 2) Export the full backlink list from Semrush and Search Console. 3) Classify: keep genuine editorial links only. 4) Submit a domain-level disavow file for the PBN/Fiverr clusters via Google Disavow Tool. 5) Re-audit monthly. Do NOT attempt removal outreach to these sellers.",M,"Medium — over-disavowing genuine links loses equity. Have a second reviewer confirm the keep/disavow list before upload.",SEO specialist,P0,"Re-run Semrush Backlink Audit after 60 days; ref-domain AS distribution should shift; monitor Search Console Manual Actions"
T-02,"73% of indexed URLs are machine-translated duplicates — delete them","Sitemap: 556 URLs, of which 405 are /es/, /de/, /pt/. These earned 30 clicks combined in 119 days (~0.25/day) across 24 URLs. Semrush shows /de/articles/panama-vs-costa-rica-retirement.html ranking for the English query ""retire in panama vs costa rica"" at position 88, and /es/ and / versions both ranking for ""internet panama"" (pos 86 and 69) — the translations compete with their own originals. Semrush Top Pages confirms 0 referring domains on every deep URL (93 of 103 ref domains point at the root), so no page-level link equity exists to preserve.","Removes self-cannibalisation and lifts site-wide quality signals by deleting 405 thin pages. Note: crawl budget is NOT a meaningful factor at 556 URLs — the benefit is quality and cannibalisation, not crawl efficiency.","Return 410 Gone for all /es/, /de/, /pt/ URLs (not 404 — 410 is unambiguous and de-indexed faster; 404 is retried for months on the assumption of error). Remove them from sitemap.xml. Remove hreflang annotations in the SAME deploy (see T-16). Retain the source files in git so the content is recoverable even though the URLs are not. Do not redirect to English equivalents — the content differs and mass redirects to loosely-related pages are treated as soft 404s.",S,"Low. Costs 30 clicks/119d. Irreversible at the URL level, so ship as its own change roughly 2 weeks clear of the v2 cutover and the disavow, to keep the before/after readable.",Developer,P0,"Search Console Pages report: indexed count should fall toward ~139; confirm 410 status on a sample via curl -I; watch Pages > 'Not found (404)' vs 'Page removed because of legal complaint' classifications"
T-03,"v2 rebuild changes every URL with no redirect map","v1 live URLs are /articles/*.html, /news/*.html, /projects/*.html. v2 (Next.js, branch v2-redesign) routes are /[category]/[slug], /areas/[slug], /projects/[slug] — extensionless and re-parented. v2 has no middleware.ts and no redirect configuration.","Prevents total loss of the site's existing rankings and the 32 clicks/28d baseline at launch.","Before launch, produce a 1:1 old->new map for all 139 English URLs. Implement as permanent redirects in next.config.ts `redirects()` (or Netlify _redirects with 301). Every consolidated URL from the pruning sheet redirects to its stated destination. Never chain more than one hop. Retain the .html source URLs as redirect origins indefinitely.",M,"High if skipped — this is the single largest risk in the project.","Developer + SEO specialist",P0,"Crawl the old URL list post-launch and assert every URL returns a single 301 to a 200. Monitor Search Console Pages > 'Page with redirect' and 404 counts daily for 30 days."
T-04,"v2 has no XML sitemap and no robots.txt","Checked v2/app: app/sitemap.ts MISSING, app/robots.ts MISSING, app/sitemap.xml/route.ts MISSING.","Without these, discovery of the rebuilt site depends entirely on internal linking.","Add app/sitemap.ts returning a MetadataRoute.Sitemap generated from Supabase (articles, areas, projects) with real lastModified values. Add app/robots.ts pointing to it. Note: this Next.js version has breaking changes — read node_modules/next/dist/docs/ before implementing per the repo's AGENTS.md.",S,Low,Developer,P0,"Fetch /sitemap.xml and /robots.txt on the deployed build; submit sitemap in Search Console and confirm 'Success' with expected URL count"
T-05,"v2 has almost no structured data","grep for application/ld+json across v2/app, v2/components, v2/lib returns exactly one match (projects/[slug]/page.tsx:170). v1 by comparison emits Article, BreadcrumbList, FAQPage and VideoObject on article pages.","Losing schema at migration would be a regression against the current site.","Port and correct: Organization + WebSite on the root layout; BreadcrumbList on every nested page; Article with real author/datePublished/dateModified on guides; Person on author pages; Place on area hubs. For project pages use Residence or Product/Offer only where price and availability are genuinely visible on the page.",M,"Low, but only mark up what is visibly on the page — invented schema risks a structured-data manual action.",Developer,P1,"Google Rich Results Test + Search Console Enhancements reports; validate every template once"
T-06,"FAQPage markup is valid schema but not rich-result eligible","v1 article pages emit FAQPage with 5 questions. Since Google's August 2023 change, FAQ rich results are shown only for authoritative government and health sites.","Sets correct expectations — keeping it costs nothing but it will not produce SERP real estate.","Keep FAQPage for semantic/LLM value if desired, but do not count it toward rich-result goals or CTR forecasts. Prioritise BreadcrumbList and Article, which remain eligible.",XS,None,SEO specialist,P3,"Rich Results Test will validate the markup but report no eligible rich result — that is expected, not a bug"
T-07,"Mismatched VideoObject schema on article pages","/articles/boquete-panama-real-estate.html (English, en-US) embeds VideoObject for a Spanish-language Pino Alto promo (inLanguage es-PA, duration PT3S).","Removes a mismatched-content signal and a 3-second video being presented as page media.","Only emit VideoObject where the video is genuinely about the page topic and is the page's primary or supporting media. Remove the 3-second promos from schema entirely; a PT3S video adds no value and may be treated as thin video content.",S,Low,Developer,P2,"Rich Results Test on affected templates; Search Console Video indexing report"
T-08,"Duplicate directory and index.html URLs","Sitemap and GSC contain both /articles/ and /articles/index.html, and both /news/ and /news/index.html, with impressions split across both.","Consolidates split signals on hub pages.","301 /articles/index.html -> /articles/ and /news/index.html -> /news/. Remove the index.html forms from the sitemap. Ensure the canonical on each hub points to the trailing-slash form.",XS,Low,Developer,P1,"curl -I each index.html URL and assert 301; confirm only one form remains in the sitemap"
T-09,"16 standalone /videos/ URLs are thin YouTube wrappers","Sitemap contains 16 /videos/* URLs (plus 51 translated copies). GSC shows the best of them at 3 impressions / 1 click over 119 days. Separate sitemap-videos.xml declares 12 URLs.","Removes index bloat with no traffic cost.","noindex the standalone video URLs and embed the videos on the relevant area and project pages instead, where they add page value. Retire sitemap-videos.xml or reduce it to videos that live on substantive pages.",S,Low,Developer,P2,"Search Console indexed-page count; confirm no click loss on the affected URLs"
T-10,SUPERSEDED 2026-08-01: /proyectos/ canonical URLs were 404ing,"Supersedes the earlier 'do not redirect' correction. Two things were wrong. (1) The 4 pages are not project pages: each is a templated Spanish ad-campaign landing (Calendly embed, WhatsApp CTA, 9 utm_ params) hreflang'd to its /co/ and /es/ siblings. Three of the four names (sanctuary-residences, euphoria-art-district, casa-korsi-casco-antiguo) do not exist in the 31-project Airtable inventory, and all four reuse a real project's photography. (2) v2/public/_redirects already mapped the .html form, so 'NOT redirected' was false post-cutover, but the extensionless canonical each page declares in <link rel=canonical>/og:url/schema.org url matched no rule and 404'd. Live GSC 2026-08-01, 16-month window: all 4 detail URLs in both forms are 'URL is unknown to Google, last crawled Never'; the /proyectos/ hub is 'Submitted and indexed' with 0 clicks / 7 impressions / pos 5.7. Semrush: 0 referring domains on deep URLs.",Closes 4 dead canonical URLs and one two-hop redirect chain. No index equity at risk; the hub keeps its 301.,"Done. See the /proyectos/ block in v2/public/_redirects: all 4 slugs 301 in BOTH URL forms, three to /projects/ and buenaventura-ritz-reserve to /projects/buenaventura-resort-cocle (same-entity match); hub and index.html 301 to /projects/. 301 not 410 because Google has never crawled these, so there is nothing to de-index and the only remaining traffic is human. netlify.toml's /articles/proyectos/* rule now goes to /projects/ in one hop instead of chaining, and /co/* 301s to / on the same reasoning.",XS,Low - every affected URL is either unknown to Google or keeps the destination it already had.,Developer,P2,"Confirm /proyectos/sanctuary-residences and its .html form both 301 to /projects/, /proyectos/buenaventura-ritz-reserve 301s to /projects/buenaventura-resort-cocle, /articles/proyectos/* reaches /projects/ in ONE hop, and /co/* 301s to /. The old 'all 4 slugs return 200' check is void."
T-18,"geo-route edge function advertises the locale pages being deleted","netlify/edge-functions/geo-route.ts injects a dismissible 'Switch to your language' banner on / , /articles/* and /projects/* for visitors from ES/PT/DE-speaking countries, linking to /es/, /pt/ and /de/ URLs. Once T-02 ships those URLs return 410.","Prevents sending a large share of Panamanian, Colombian, Mexican, Spanish, Brazilian and German visitors to a 410 page.","Disable or remove the language-banner half of geo-route in the SAME deploy as the 410 rules. The per-jurisdiction cookie-banner logic in the same function is unrelated and should be retained — separate the two concerns rather than deleting the whole edge function. Note the function already exempts bots, so this is a pure UX fix with no crawler impact.",S,"Medium if missed — Panama is the #2 country by clicks and maps to 'es' in the function's country table.",Developer,P0,"Visit / with an es-ES Accept-Language and a PA geo; confirm no language banner renders"
T-19,"v2 has no article content — merging is safe, cutting over is not","Supabase query on the v2 project returns 1 article (titled-vs-rights-of-possession), 15 areas, 31 projects (13 published). v1 has 85 English articles. Coverage check of the 30 v1 URLs that earn traffic (clicks>0 or impressions>=100) found 0 covered by a live v2 equivalent, 0 drafted, 30 with no v2 equivalent at all.","Distinguishes two things that are easy to conflate: merging the branch, and pointing the domain at it.","MERGING v2-redesign to main is safe today: netlify.toml sets publish = 'project' (the v1 static directory) and the branch does not modify netlify.toml or project/, so the live site is unaffected by the merge. CUTTING OVER is gated on List A of 12-v2-migration-plan.md — the 14 URLs holding page-1 positions on property-relevant queries. NOT all 30: the full set produces only ~11 clicks/month, so traffic alone does not justify blocking. Lists B (rewrite anyway) and C (expat utility, near-zero lead value) are non-blocking.",L,"Critical if conflated. Cutting over before List A exists loses page-1 positions on the property queries; cutting over is NOT gated on the utility pages despite their higher impression count.","Developer + writers",P0,"Re-run v2/scripts/_coverage-check.mjs; require 0 gaps across List A before changing the publish target"
T-21,"Port script: project/data.js -> Supabase articles","v1 article bodies are already structured data in PANAMA_DATA.articleBodies (84/84 articles have one), not HTML requiring extraction. Closed block taxonomy: plain string (paragraph), {h}, {quote}, {table}, {chart,caption,alt}. PANAMA_DATA.articles carries id, category, title, excerpt, metaDescription, author, date, read, cover, faqs, lang. The faqs shape {q,a} already matches the v2 articles.faqs jsonb column.","Turns a ~30-article writing project into roughly a day of scripted work, which is what makes migrating the low-traffic pages worth doing at all.","Map the 5 body block types to the v2 body column; map 19 v1 categories to the 4 v2 categories (buying/residency/money/living) per the table in 12-v2-migration-plan.md. Two rules: 'Real Estate by Location' articles fold into /areas/{slug} rather than becoming articles, since v2 already has 15 area records and location intent belongs on area hubs; the nationality-slice articles (panama-para-*, comprar-imovel-*, etc.) are NOT ported because they are marked Consolidate. Carry faqs across unchanged.",M,"Low. Idempotent by slug; run against a Supabase branch first.",Developer,P1,"Row counts per category match expectation; spot-check 5 ported articles for block fidelity; re-run coverage check"
