Page_Title,Primary_Keyword,Secondary_Keywords_Entities,Intent,Funnel,Parent_Pillar,Cluster,Suggested_URL,Format,Internal_Links_In,Internal_Links_Out,Conversion_Opportunity,EEAT_Requirement,Disposition,Priority,Publish_Wave
Buying Property in Panama: The Complete 2026 Guide,panama real estate,buy property panama; real estate in panama central america; panama homes for sale; ANATI; Public Registry; titled vs ROP land,Commercial,MOF,ROOT,Buying,/buying/buying-property-in-panama,Pillar (3000+ words with jump nav),Home; all area hubs; all project pages; all money guides,Process; costs; taxes; financing; foreign ownership; areas,Inline consultation CTA + downloadable buyer checklist,Named author with Panama transaction experience; attorney reviewer; ANATI/Public Registry citations,Create (consolidate 2 existing),P0,Wave 1
"The Panama Property Buying Process, Step by Step",panama property buying process,how to buy a house in panama; promesa de compra venta; escritura publica; notary; Public Registry,Informational,MOF,Buying,Process,/buying/panama-property-buying-process-guide,Step-by-step guide with timeline,Buying pillar; closing costs; legal,Closing costs; lawyer selection; title check,Consultation CTA at decision points,Attorney-reviewed; cite Código Civil / Public Registry procedure,Improve (/buying/panama-property-buying-process-guide) [v2 URL live],P0,Wave 1
What It Actually Costs to Close on a Panama Property,panama closing costs,transfer tax; ITBI; notary fees; registration fees; capital gains 3%,Informational,MOF,Buying,Money,/buying/panama-closing-costs,Guide + interactive calculator,Buying pillar; process; taxes,Buying pillar; tax guide,Calculator email-gate (soft) + consultation,Cite DGI (Dirección General de Ingresos) with retrieval date; CPA reviewer,Create,P0,Wave 1
Can Foreigners Buy Property in Panama? Ownership Rules Explained,can a foreigner buy real estate in panama,foreign ownership panama; titled land; rights of possession; 10km border restriction,Informational,TOF,Buying,Legal,/buying/can-foreigners-buy-property-panama,Explainer + decision tree,Buying pillar; all area hubs,Titled vs ROP; residency pillar,Soft consultation CTA,Attorney reviewer; cite Constitution Art. 291 and ANATI,Create,P0,Wave 1
Titled Land vs Rights of Possession: The Distinction That Costs Buyers Money,titled land vs rights of possession panama,ROP panama; derecho posesorio; ANATI titulacion,Informational,MOF,Buying,Legal,/buying/titled-vs-rights-of-possession,Explainer + real case examples,Buying pillar; foreign ownership; beach area hubs,Buying pillar; area hubs,Title-check service CTA,First-hand: show two real title searches; attorney reviewer; ANATI citation,Improve (/buying/titled-vs-rights-of-possession) [v2 URL live],P0,Wave 1
Property Taxes and Tax Incentives for Panama Owners,panama property tax,20-year exoneration; ley 66; territorial taxation; capital gains panama,Informational,MOF,Buying,Money,/money/panama-property-tax,Guide + rate table,Buying pillar; closing costs; investment,Buying pillar; residency,Consultation CTA,Cite DGI with retrieval date; CPA reviewer; explicit 'not tax advice' disclaimer,Improve (/residency/panama-tax-benefits-foreigners-2026) [recategorised buying->money to fit v2's fixed categories],P1,Wave 2
Getting a Mortgage in Panama as a Foreigner,panama mortgage for foreigners,panama bank financing; LTV; Banco General; Global Bank; interest rates,Informational,MOF,Buying,Money,/money/panama-mortgage-foreigners,Guide + lender comparison table,Buying pillar; banking; process,Banking guide; closing costs,Lender-intro consultation CTA,Cite Superintendencia de Bancos; interview a licensed mortgage broker,Create [recategorised buying->money to fit v2's fixed categories],P1,Wave 2
Retire in Panama: An Honest 2026 Guide,retire in panama,retiring in panama central america; panama retirement; is panama a good place to retire,Informational,TOF,ROOT,Retirement,/living/retire-in-panama,Pillar,Home; living pillar; residency pillar; area hubs,Pensionado; best places; drawbacks; healthcare; cost of living,Newsletter + consultation CTA,Named author living in Panama; first-hand photography; dated sources,Improve (/living/retire-in-panama — currently pos 96) [v2 URL live],P0,Wave 1
The Real Drawbacks of Retiring in Panama,retiring in panama dangers,retiring in panama pros and cons; why expats leave panama; truth about retiring in panama,Informational,TOF,Retirement,Objection,/living/why-expats-leave-panama-2-years,Long-form honest assessment,Retirement pillar; living pillar; comparisons,Retirement pillar; healthcare; safety,Low-pressure newsletter only — no hard CTA,First-hand interviews with expats who left; this is the trust-builder for the whole site,Improve (/living/why-expats-leave-panama-2-years) [v2 URL live],P0,Wave 1
"Best Places to Retire in Panama, Compared",best places to retire in panama,best cities to retire in panama; best places to retire panama; retirement villages in panama,Commercial,MOF,Retirement,Comparison,/living/best-places-to-retire-in-panama,Comparison table + area cards,Retirement pillar; all area hubs,All area hubs; retirement communities,Area-page handoff then consultation,First-hand visits to each named place; original photography; dated price data,Create (consolidate),P0,Wave 1
