Keyword,Cluster,Intent,Vol_US,KD,CPC,Current_Pos,SERP_Weakness,Target_URL,Page_Status,Wave,Rationale
panama pensionado visa,Pensionado,Commercial,480,29,0.38,not ranking,law firms; one result still quotes $750/$100k,/residency/panama-pensionado-visa,NEW,1,Highest-value residency cluster with no dedicated page; pensionados buy
panama retirement visa,Pensionado,Commercial,880,26,0.40,not ranking,law firms,/residency/panama-pensionado-visa,NEW,1,Same page; head variant
pensionado visa panama,Pensionado,Commercial,590,25,0.54,not ranking,law firms,/residency/panama-pensionado-visa,NEW,1,Same page
panama pensionado program,Pensionado,Commercial,260,25,0.65,not ranking,law firms,/residency/panama-pensionado-visa,NEW,1,Same page; benefits/discounts section
retirement visa panama,Pensionado,Commercial,170,24,0.40,not ranking,law firms,/residency/panama-pensionado-visa,NEW,1,Same page
panama pensionado visa requirements,Pensionado,Informational,110,21,0.44,not ranking,globalcitizensolutions / harveylaw / relofirm,/residency/panama-pensionado-visa,NEW,1,Requirements H2 with document checklist
panama retirement visa requirements,Pensionado,Informational,110,22,0.52,not ranking,law firms,/residency/panama-pensionado-visa,NEW,1,Same page
retirement visa for panama,Pensionado,Commercial,90,20,0.53,not ranking,law firms,/residency/panama-pensionado-visa,NEW,1,Same page
panama pensionado visa benefits,Pensionado,Informational,70,20,0.21,not ranking,thin,/residency/panama-pensionado-visa,NEW,1,Discount table with legal source
panama friendly nations visa,FNV,Commercial,n/a,med,n/a,not ranking,residencies.io / relofirm / kraemer; broker at #4,/residency/panama-friendly-nations-visa,NEW,1,Broker already ranks #4 so page type is viable
friendly nations visa panama 2026,FNV,Commercial,n/a,med,n/a,pos 7 (1 imp),year-stamped titles win,/residency/panama-friendly-nations-visa,NEW,1,We already appear for the 2026 variant
panama friendly nations visa requirements for canadians,FNV,Informational,n/a,low,n/a,pos 66,none,/residency/panama-friendly-nations-visa,NEW,1,Country-list section; link from moving-from-canada
panama investor visa 300000,Investor visa,Commercial,n/a,med,n/a,pos 7-11 (quoted queries),thin,/residency/panama-qualified-investor-visa,NEW,2,Decree 193 queries already surface us; high-ticket buyers
golden visa panama,Investor visa,Commercial,n/a,med,n/a,75,generic,/residency/panama-qualified-investor-visa,NEW,2,Same page; Spain golden-visa refugees
can foreigners buy property in panama,Buying process,Informational,n/a,low,n/a,84,wise.com #1 / Facebook post #3,/buying/can-foreigners-buy-property-in-panama,NEW,1,Weakest commercial SERP found; add 10k-rule section
can a foreigner buy property in panama,Buying process,Informational,n/a,low,n/a,71,same,/buying/can-foreigners-buy-property-in-panama,NEW,1,Same page
buying property in panama as a foreigner,Buying process,Informational,n/a,low,n/a,not ranking,brighttax / thelatinvestor,/buying/can-foreigners-buy-property-in-panama,NEW,1,Same page
panama 10k rule,Buying process,Informational,n/a,low,n/a,not ranking,livinginpanama.com only,/buying/can-foreigners-buy-property-in-panama,NEW,1,Border-zone ownership; nobody covers cleanly
buying property in panama,Buying process,Informational,n/a,med,n/a,63,#1 casasolution stamped 2025; #2 tax firm,/buying/buying-property-in-panama,EXISTS (refresh),1,Retitle with year + add closing-cost table + link new pages
how to buy a house in panama,Buying process,Informational,n/a,med,n/a,75,same,/buying/panama-property-buying-process-guide,EXISTS (refresh),1,Consolidate with buying-property? Two pages overlap
buy house in panama,Buying process,Commercial,880,33,0.25,not ranking,listing-ish,/buying/panama-property-buying-process-guide,EXISTS,2,Head variant
